full_text,"sentimen (positif 1, netral 2, negatif3)",anies,ganjar,prabowo
,,,,
,,,,
Amin 👍  #AMINUntukKemakmuranDesa #AniesMuhaimin2024  @cakimiNOW @DPP_PKB https://t.co/5ueTx3fWGG,positif,1,0,0
#AMINUntukKemakmuranDesa #AniesMuhaimin2024  @cakiminNOW @DPP_PKB  AMIN Siap Membagun Dari Desa Untuk Indonesia https://t.co/gowodEBUvT,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
@voiceofpkb @cakimiNOW @aniesbaswedan Kemakmuran desa 2024.AMIN,positif,1,0,0
,,,,
,,,,
@voiceofpkb @cakimiNOW @aniesbaswedan AMIN untuk perubahan...,positif,1,0,0
"@DPP_PKB @cakimiNOW Amin sangat mendukung kenaikan dana desa, mantap",positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW Mantap Amin lanjutkan,positif,1,0,0
,,,,
"@MIlyasa652 @TeddGus Klain boleh2 saja, realnya bnyk juga yg dukung Amin...",netral,1,0,0
@elisa_jkt gak ada duit kak. baliho Amin hampir semua nya dari Baliho caleg .  jadi caleg yang promosi diri nya sendiri nah si situlah Gambar amin di tempel dikit . maklum sumberdaya amin gak sebesar 02/03 .,netral,1,0,0
"Kami, JARNAS BORNEO, bangga menjadi bagian dari Perubahan 2024 memenangkan AMIN ☝️SATU Putaran.  Relawan bukan tak bernilai, tapi tak ternilai ❤️  Dari Balikpapan, Kaltim untuk Indonesia 🥇🥰  #AniesMuhaimin2024 #AMINUntukKemakmuran  #AminkanIndonesia https://t.co/PVIlqqa7eg",positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW Amin Mantap,positif,1,0,0
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN ntuk perubahan...,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW Kawasan manusiawi dan berkeadilan..AMIN,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN untuk perubahan...,positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW Mantap Amin lanjutkan,positif,1,0,0
,,,,
,,,,
"@voiceofpkb @aniesbaswedan @cakimiNOW Dengan AMIN warga desa harus maju,mandiri dan sejahtera.",positif,1,0,0
,,,,
,,,,
,,,,
,,,,
@akun_kertas @mohmahfudmd Mana berani pak Mahfud,netral,0,1,0
@DPP_PKB @cakimiNOW Membangun desa dan kota mulai 2024.AMIN,positif,1,0,0
@DPP_PKB @cakimiNOW @aniesbaswedan AMIN untuk perubahan,positif,1,0,0
@DPP_PKB @cakimiNOW Sukses kan Amin,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW Amin Peduli Desa,positif,1,0,0
@hansssolo Amin... Doanya amin pilihannya amin,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN solusi yg tepat untuk pembangunan &amp  kemakmuran desa,positif,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW Desa garda terdepan pembangunan..AMIN,positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan AMIN Menang 2024,positif,1,0,0
